Loc.,Item #,Manuf. ,Part #,Description,Qty.,1ST CHECK,2ND CHECK,NOTES,WORK ORDER,Cost,Total Value,Cost New,,
1R-A66C,?,FANUC,A16B-2200-036X,CIRCUIT BOARD,1,,,,,"1,200.00",1200,,,
1R-A66D,S003700,FANUC,A16B-1212-0901,CIRCUIT BOARD,3,,,,,579.00,1737,"$1,180.00",,
1R-A66E,S001249,OMRON,C200H-CT001-V1,COUNTER UNIT,2,,,,,212.00,424,$696.00,,
1R-A66F,S000895,FANUC,A16B-2202-0726,CIRCUIT BOARD,1,,,,,"1,275.00",1275,"$1,766.00",,
1R-A67A,,LAMBDA,EWS100-24 AYL-941K06-0343-P468,POWER SUPPLY,1,,,,,255.00,255,$860.00,,
1R-A67B,S003706,FANUC,A16B-2203-0030,CIRCUIT BOARD,3,,,,,"1,155.00",3465,"$2,034.00",,
1R-A67C,,OMRON,C200H-RT201,,2,,,,,1.00,2,,,
1R-A67D,,COSMO,DFR-720,FLOW METER,1,,,,,"1,595.00",1595,"$1,247.06",,
1R-A68A,,SANYO-DENKI,PZ0A050A211T00,AMPLIFIER,0,,,,,"1,687.00",0,"$3,416.00",,
1R-A68B,S002094,FANUC,A16B-3200-0210,PC BOARD,2,,,,,"1,975.00",3950,"$2,969.00",,
1R-A68C,S005772,TELESIS,TMC-420,CONTROLLER,4,,,,,"1,192.00",4768,"$7,731.70",,
1R-A69A,S010455,ALLEN-BRADLEY,22A-D2P3N104,INVERTER,1,,,,,575.00,575,$490.00,,
1R-A69B,S013704,SANYO-DENKI,QS1A05AA,AMPLIFIER,5,,,,,150.00,750,"$1,627.00",,
1R-A69C,S005939,HAKKO,V606EM20 (obsolete),TOUCH PANEL,2,,,,133917/133918,685.00,1370,OBSOLETE,,
1R-A70A,?,FANUC,A02B-0200-C101,KEYBOARD,1,,,,,1.00,1,,,
1R-A70B,?,FANUC ,A02B-0118-C131,POWER MATE,3,,,,,"1,200.00",3600,,,
1R-A71A,?,?,560G5A,CPU CARD,1,,,,,975.00,975,$1.00,,
1R-A71B,S011926,FANUC,A16B-3200-0412,CPU BOARD,1,,,,129243,"1,850.00",1850,"$5,576.00",,
1R-A71B,S011926,FANUC,A16B-3200-0412,CPU BOARD,1,,,,125818,"1,800.00",1800,"$5,576.00",,
