epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,96.6679,1.21868,2.02408,0.00139,0.42751,0.28,0.27133,0.21225,0.95983,2.99202,0.00201,0.0002278,0.0002278,0.0002278
119,97.2495,1.05043,1.82811,0.00147,0.42751,0.28,0.27133,0.21225,0.95983,2.99202,0.00201,0.0002212,0.0002212,0.0002212
120,97.8507,1.04047,1.7205,0.00136,0.42727,0.28131,0.27049,0.20639,0.95561,2.99881,0.00201,0.0002146,0.0002146,0.0002146
121,98.4799,1.26054,2.16744,0.00141,0.42727,0.28131,0.27049,0.20639,0.95561,2.99881,0.00201,0.000208,0.000208,0.000208
122,99.3153,0.95791,1.92741,0.00161,0.40486,0.28694,0.25072,0.19729,0.95395,2.97835,0.002,0.0002014,0.0002014,0.0002014
123,99.9213,1.00526,1.97122,0.00154,0.40486,0.28694,0.25072,0.19729,0.95395,2.97835,0.002,0.0001948,0.0001948,0.0001948
124,100.54,1.02417,1.88668,0.00134,0.36342,0.28694,0.25058,0.19199,0.95718,2.99602,0.00202,0.0001882,0.0001882,0.0001882
125,101.185,1.07058,2.01625,0.00153,0.36342,0.28694,0.25058,0.19199,0.95718,2.99602,0.00202,0.0001816,0.0001816,0.0001816
126,101.794,1.0659,1.87433,0.00161,0.36831,0.28917,0.24895,0.19086,0.96373,2.99372,0.00204,0.000175,0.000175,0.000175
127,102.377,1.00525,1.92765,0.00181,0.36831,0.28917,0.24895,0.19086,0.96373,2.99372,0.00204,0.0001684,0.0001684,0.0001684
128,102.984,1.08128,1.94832,0.00172,0.37243,0.28928,0.24896,0.19059,0.97371,3.008,0.00206,0.0001618,0.0001618,0.0001618
129,103.719,1.12085,1.95908,0.00188,0.37243,0.28928,0.24896,0.19059,0.97371,3.008,0.00206,0.0001552,0.0001552,0.0001552
